Created,Passenger,ds,y
2019-06-04,8544,2019-06-04,8544
2019-06-05,9610,2019-06-05,9610
2019-06-06,8808,2019-06-06,8808
2019-06-07,8244,2019-06-07,8244
2019-06-08,7107,2019-06-08,7107
2019-06-09,6731,2019-06-09,6731
2019-06-10,8650,2019-06-10,8650
2019-06-11,7889,2019-06-11,7889
2019-06-12,9932,2019-06-12,9932
2019-06-13,9054,2019-06-13,9054
2019-06-14,8559,2019-06-14,8559
2019-06-15,7057,2019-06-15,7057
2019-06-16,5646,2019-06-16,5646
2019-06-17,8229,2019-06-17,8229
2019-06-18,8294,2019-06-18,8294
2019-06-19,9105,2019-06-19,9105
2019-06-20,7784,2019-06-20,7784
2019-06-21,7599,2019-06-21,7599
2019-06-22,6481,2019-06-22,6481
2019-06-23,7894,2019-06-23,7894
2019-06-24,7763,2019-06-24,7763
2019-06-25,7233,2019-06-25,7233
2019-06-26,7869,2019-06-26,7869
2019-06-27,7162,2019-06-27,7162
2019-06-28,6225,2019-06-28,6225
2019-06-29,5766,2019-06-29,5766
2019-06-30,4882,2019-06-30,4882
2019-07-01,6326,2019-07-01,6326
2019-07-02,5845,2019-07-02,5845
2019-07-03,6779,2019-07-03,6779
2019-07-04,5346,2019-07-04,5346
2019-07-05,7059,2019-07-05,7059
2019-07-06,5914,2019-07-06,5914
2019-07-07,5810,2019-07-07,5810
2019-07-08,7390,2019-07-08,7390
2019-07-09,7232,2019-07-09,7232
2019-07-10,8200,2019-07-10,8200
2019-07-11,7266,2019-07-11,7266
2019-07-12,7201,2019-07-12,7201
2019-07-13,6469,2019-07-13,6469
2019-07-14,6208,2019-07-14,6208
2019-07-15,9477,2019-07-15,9477
2019-07-16,9727,2019-07-16,9727
2019-07-17,9934,2019-07-17,9934
2019-07-18,7188,2019-07-18,7188
2019-07-19,6563,2019-07-19,6563
2019-07-20,5780,2019-07-20,5780
2019-07-21,5584,2019-07-21,5584
2019-07-22,7542,2019-07-22,7542
2019-07-23,7705,2019-07-23,7705
2019-07-24,8372,2019-07-24,8372
2019-07-25,7152,2019-07-25,7152
2019-07-26,7372,2019-07-26,7372
2019-07-27,6149,2019-07-27,6149
2019-07-28,5990,2019-07-28,5990
2019-07-29,7888,2019-07-29,7888
2019-07-30,7312,2019-07-30,7312
2019-07-31,7911,2019-07-31,7911
2019-08-01,7362,2019-08-01,7362
2019-08-02,6890,2019-08-02,6890
2019-08-03,6345,2019-08-03,6345
2019-08-04,6029,2019-08-04,6029
2019-08-05,7404,2019-08-05,7404
2019-08-06,7241,2019-08-06,7241
2019-08-07,8136,2019-08-07,8136
2019-08-08,7445,2019-08-08,7445
2019-08-09,6737,2019-08-09,6737
2019-08-10,6022,2019-08-10,6022
2019-08-11,5905,2019-08-11,5905
2019-08-12,7396,2019-08-12,7396
2019-08-13,7084,2019-08-13,7084
2019-08-14,7584,2019-08-14,7584
2019-08-15,6737,2019-08-15,6737
2019-08-16,6433,2019-08-16,6433
2019-08-17,6689,2019-08-17,6689
2019-08-18,5917,2019-08-18,5917
2019-08-19,7685,2019-08-19,7685
2019-08-20,6991,2019-08-20,6991
2019-08-21,8031,2019-08-21,8031
2019-08-22,7203,2019-08-22,7203
2019-08-23,7182,2019-08-23,7182
2019-08-24,6924,2019-08-24,6924
2019-08-25,6058,2019-08-25,6058
2019-08-26,8248,2019-08-26,8248
2019-08-27,8398,2019-08-27,8398
2019-08-28,8471,2019-08-28,8471
2019-08-29,7610,2019-08-29,7610
2019-08-30,8930,2019-08-30,8930
2019-08-31,7315,2019-08-31,7315
2019-09-01,5332,2019-09-01,5332
2019-09-02,7143,2019-09-02,7143
2019-09-03,8871,2019-09-03,8871
2019-09-04,8999,2019-09-04,8999
2019-09-05,6987,2019-09-05,6987
2019-09-06,6517,2019-09-06,6517
2019-09-07,5524,2019-09-07,5524
2019-09-08,4911,2019-09-08,4911
2019-09-09,6240,2019-09-09,6240
2019-09-10,6732,2019-09-10,6732
2019-09-11,7817,2019-09-11,7817
2019-09-12,7152,2019-09-12,7152
2019-09-13,7017,2019-09-13,7017
2019-09-14,5791,2019-09-14,5791
2019-09-15,5141,2019-09-15,5141
2019-09-16,6674,2019-09-16,6674
2019-09-17,6726,2019-09-17,6726
2019-09-18,7989,2019-09-18,7989
2019-09-19,6908,2019-09-19,6908
2019-09-20,6871,2019-09-20,6871
2019-09-21,6718,2019-09-21,6718
2019-09-22,5225,2019-09-22,5225
2019-09-23,7777,2019-09-23,7777
2019-09-24,7066,2019-09-24,7066
2019-09-25,7489,2019-09-25,7489
2019-09-26,6473,2019-09-26,6473
2019-09-27,6018,2019-09-27,6018
2019-09-28,5222,2019-09-28,5222
2019-09-29,4692,2019-09-29,4692
2019-09-30,6707,2019-09-30,6707
2019-10-01,6835,2019-10-01,6835
2019-10-02,7571,2019-10-02,7571
2019-10-03,6689,2019-10-03,6689
2019-10-04,6147,2019-10-04,6147
2019-10-05,5510,2019-10-05,5510
2019-10-06,4893,2019-10-06,4893
2019-10-07,5819,2019-10-07,5819
2019-10-08,8600,2019-10-08,8600
2019-10-09,7389,2019-10-09,7389
2019-10-10,6997,2019-10-10,6997
2019-10-11,6711,2019-10-11,6711
2019-10-12,5868,2019-10-12,5868
2019-10-13,5182,2019-10-13,5182
2019-10-14,7351,2019-10-14,7351
2019-10-15,7279,2019-10-15,7279
2019-10-16,8897,2019-10-16,8897
2019-10-17,7756,2019-10-17,7756
2019-10-18,7265,2019-10-18,7265
2019-10-19,6367,2019-10-19,6367
2019-10-20,5745,2019-10-20,5745
2019-10-21,7772,2019-10-21,7772
2019-10-22,7441,2019-10-22,7441
2019-10-23,8552,2019-10-23,8552
2019-10-24,7343,2019-10-24,7343
2019-10-25,6965,2019-10-25,6965
2019-10-26,6531,2019-10-26,6531
2019-10-27,5834,2019-10-27,5834
2019-10-28,7837,2019-10-28,7837
2019-10-29,7796,2019-10-29,7796
2019-10-30,9309,2019-10-30,9309
2019-10-31,8108,2019-10-31,8108
2019-11-01,8614,2019-11-01,8614
2019-11-02,7604,2019-11-02,7604
2019-11-03,6636,2019-11-03,6636
2019-11-04,8926,2019-11-04,8926
2019-11-05,8414,2019-11-05,8414
2019-11-06,9718,2019-11-06,9718
2019-11-07,9266,2019-11-07,9266
2019-11-08,9569,2019-11-08,9569
2019-11-09,10069,2019-11-09,10069
2019-11-10,7083,2019-11-10,7083
2019-11-11,10968,2019-11-11,10968
2019-11-12,12103,2019-11-12,12103
2019-11-13,10921,2019-11-13,10921
2019-11-14,9451,2019-11-14,9451
2019-11-15,8915,2019-11-15,8915
2019-11-16,8155,2019-11-16,8155
2019-11-17,6939,2019-11-17,6939
2019-11-18,9010,2019-11-18,9010
2019-11-19,8878,2019-11-19,8878
2019-11-20,9216,2019-11-20,9216
2019-11-21,8027,2019-11-21,8027
2019-11-22,8175,2019-11-22,8175
2019-11-23,6473,2019-11-23,6473
2019-11-24,5907,2019-11-24,5907
2019-11-25,6887,2019-11-25,6887
2019-11-26,6689,2019-11-26,6689
2019-11-27,7880,2019-11-27,7880
