,ds,yhat,yhat_lower,yhat_upper,y,cutoff
152,2019-06-26,1247.1825936433609,972.7941067401337,1504.3488274529059,1520,2019-01-24
153,2019-06-27,1190.707731553462,902.5618494021903,1459.7948864137393,1555,2019-01-24
154,2019-06-28,1246.7004340882875,979.0478203376117,1511.0056116902535,1364,2019-01-24
155,2019-06-29,909.6250848008405,620.5755704745543,1189.4720762231034,1136,2019-01-24
156,2019-06-30,805.2494275386193,533.2886500598264,1062.103407576408,933,2019-01-24
157,2019-07-01,1293.758408598014,1028.6084000598162,1565.04770848804,1357,2019-01-24
158,2019-07-02,1316.8480203880401,1047.4849423854375,1562.7252646375623,1350,2019-01-24
159,2019-07-03,1269.810593198172,1021.95097879829,1535.4932659529131,1530,2019-01-24
160,2019-07-04,698.2267628482597,449.33084096945794,976.03374569868,1216,2019-01-24
161,2019-07-05,1261.7294097653087,989.7655698786768,1574.9994636033025,1563,2019-01-24
162,2019-07-06,921.2508267012374,631.0018047008208,1194.0787198745136,1147,2019-01-24
163,2019-07-07,813.9505333998682,541.7063879167654,1080.3266340455411,1091,2019-01-24
164,2019-07-08,1300.1504318610232,1014.3724884768695,1553.5493975394104,1665,2019-01-24
165,2019-07-09,1321.6589421625804,1057.665415224556,1580.0552315291384,1857,2019-01-24
166,2019-07-10,1273.8527762750505,1002.7857051618824,1555.299311786559,1569,2019-01-24
167,2019-07-11,1213.601091218564,945.5885781983017,1486.8839854487096,1462,2019-01-24
168,2019-07-12,1266.854463834856,988.1791505265475,1517.2408906898254,1506,2019-01-24
169,2019-07-13,928.2387585226936,667.5796767618617,1195.9098322941527,1211,2019-01-24
170,2019-07-14,823.6366771057656,574.7377450165116,1096.8704483835525,1163,2019-01-24
171,2019-07-15,1313.298276759818,1034.1676394968372,1576.438762022815,2059,2019-01-24
172,2019-07-16,1338.933246537381,1064.8203883853862,1593.455534189359,2125,2019-01-24
173,2019-07-17,1295.7964209102147,1014.7029294100844,1556.593034357607,2056,2019-01-24
174,2019-07-18,1240.6164339908714,960.3978856486635,1505.3474608237605,1466,2019-01-24
175,2019-07-19,1299.1897978981794,1021.0496563537909,1577.1293390335989,1392,2019-01-24
176,2019-07-20,965.9802983576279,700.6065158161974,1244.2973677766893,1093,2019-01-24
177,2019-07-21,866.7063048786949,583.5769994422036,1124.9451692692046,1213,2019-01-24
178,2019-07-22,1361.4570823526963,1098.360839732113,1623.7167521497665,1881,2019-01-24
179,2019-07-23,1391.7906948818975,1119.8504685817227,1661.2112139064589,2102,2019-01-24
180,2019-07-24,1352.8247864679572,1089.3229763554484,1631.8229689199377,1594,2019-01-24
181,2019-07-25,1301.1699607731537,1014.4928908828891,1563.6934640293764,1581,2019-01-24
182,2019-07-26,1362.5278803631402,1082.399487557538,1619.630488091546,1626,2019-01-24
183,2019-07-27,1031.2938392644216,766.4465766296577,1300.0181509896443,1281,2019-01-24
184,2019-07-28,933.1462954230514,670.0908843037129,1207.590753795458,1148,2019-01-24
185,2019-07-29,1428.1643713907486,1164.353891242831,1697.4622211624778,1703,2019-01-24
186,2019-07-30,1457.9258705252983,1167.292409783008,1730.1946410153882,1801,2019-01-24
187,2019-07-31,1417.5970863519976,1151.602301801985,1682.6534018961333,1587,2019-01-24
188,2019-08-01,1363.86415734428,1079.1738621818492,1619.1531802387146,1540,2019-01-24
189,2019-08-02,1422.5281537172846,1176.4282557380118,1688.1497308760681,1649,2019-01-24
190,2019-08-03,1088.1037504941478,808.5910192728759,1352.525292682493,1318,2019-01-24
191,2019-08-04,986.404104934242,713.265224369204,1232.0422450169578,992,2019-01-24
192,2019-08-05,1477.6531051338422,1215.7724260108441,1757.5232660734,1587,2019-01-24
193,2019-08-06,1503.5777174315951,1244.3284071120104,1772.0287796882772,1586,2019-01-24
194,2019-08-07,1459.4919067505318,1172.8938424105556,1732.2023979746364,1640,2019-01-24
195,2019-08-08,1402.2220882819142,1135.3343239189799,1674.833264418924,1512,2019-01-24
196,2019-08-09,1457.6965062376166,1176.0437948835013,1738.0806049415273,1544,2019-01-24
197,2019-08-10,1120.5385990776824,832.8550825675629,1390.0023715360144,1297,2019-01-24
198,2019-08-11,1016.6471636391447,732.0762461005047,1303.6657465243843,1056,2019-01-24
199,2019-08-12,1506.30466188517,1261.5270328421448,1791.9245453745948,1746,2019-01-24
200,2019-08-13,1531.2665513344646,1271.7535829123492,1798.2863923597067,1731,2019-01-24
201,2019-08-14,1486.8432378434877,1228.623336092477,1775.997724649899,1550,2019-01-24
202,2019-08-15,1429.824700217254,1153.0709357757291,1707.1460202197122,1655,2019-01-24
203,2019-08-16,1486.0702365668303,1202.1725381520514,1748.2262263174296,1485,2019-01-24
204,2019-08-17,1150.1034066724271,904.1317113076447,1437.8948427112505,1486,2019-01-24
205,2019-08-18,1047.6949572133128,804.162343787947,1314.2126761200839,1224,2019-01-24
206,2019-08-19,1538.975007764483,1260.0105193454413,1811.0768538730044,1894,2019-01-24
207,2019-08-20,1565.5272739718725,1286.8064692484543,1836.9609533791506,1697,2019-01-24
208,2019-08-21,1522.4767858014457,1251.9430769955939,1789.4305793054864,1702,2019-01-24
209,2019-08-22,1466.4209774316625,1187.87448798137,1752.294092667887,1627,2019-01-24
210,2019-08-23,1523.0263985376962,1229.1458087480846,1789.9761651117212,1751,2019-01-24
211,2019-08-24,1186.6308998668194,920.7090009345004,1480.2904093361328,1578,2019-01-24
212,2019-08-25,1082.8338440620755,802.9560908179077,1360.5871026693098,1347,2019-01-24
213,2019-08-26,1571.6153764901778,1299.2889512538388,1846.6172349706064,2026,2019-01-24
214,2019-08-27,1594.4372897671067,1313.5764651391726,1849.070162943465,1987,2019-01-24
215,2019-08-28,1546.3367053448708,1275.844399741442,1817.693412768374,1646,2019-01-24
216,2019-08-29,1483.86222998494,1203.789316591167,1755.7620080182398,1582,2019-01-24
217,2019-08-30,1532.6746412820635,1264.0542973454908,1808.7300134623226,2326,2019-01-24
218,2019-08-31,1187.1517893185514,922.9725785308661,1468.8005925176908,1728,2019-01-24
219,2019-09-01,1072.9801353004161,797.0809598547839,1346.6727750759617,1266,2019-01-24
220,2019-09-02,1718.811440176486,1456.5963380037542,2010.0557934909393,2013,2019-01-24
221,2019-09-03,1560.6741172901684,1292.1848592763945,1829.0399428087253,2592,2019-01-24
222,2019-09-04,1499.4393971579418,1225.4464922515517,1777.0938453442077,2063,2019-01-24
223,2019-09-05,1423.37713937728,1160.4593103270117,1715.145014092744,1722,2019-01-24
